Year,Month,Anomaly,Unc.,Anomaly,Unc.
1896,9,-0.178,0.146,-0.199,0.084
1896,10,-0.031,0.127,-0.168,0.083
1896,11,-0.278,0.129,-0.146,0.082
1896,12,-0.103,0.132,-0.149,0.082
1897,1,-0.164,0.146,-0.156,0.082
1897,2,-0.278,0.119,-0.163,0.082
1897,3,-0.301,0.124,-0.169,0.083
1897,4,-0.063,0.131,-0.183,0.083
1897,5,-0.006,0.144,-0.187,0.085
1897,6,-0.162,0.148,-0.2,0.085
1897,7,-0.192,0.169,-0.199,0.088
1897,8,-0.206,0.171,-0.216,0.088
1897,9,-0.248,0.155,-0.243,0.092
1897,10,-0.194,0.133,-0.271,0.093
1897,11,-0.326,0.159,-0.303,0.093
1897,12,-0.258,0.122,-0.308,0.093
1898,1,-0.151,0.184,-0.32,0.093
1898,2,-0.492,0.125,-0.334,0.093
1898,3,-0.624,0.136,-0.346,0.091
1898,4,-0.396,0.149,-0.37,0.089
1898,5,-0.383,0.143,-0.389,0.086
1898,6,-0.223,0.134,-0.402,0.085
1898,7,-0.343,0.16,-0.408,0.084
1898,8,-0.369,0.169,-0.408,0.085
1898,9,-0.399,0.146,-0.392,0.085
1898,10,-0.478,0.134,-0.377,0.086
1898,11,-0.554,0.124,-0.362,0.086
1898,12,-0.41,0.112,-0.374,0.085
1899,1,-0.227,0.134,-0.368,0.085
1899,2,-0.489,0.126,-0.351,0.086
1899,3,-0.434,0.123,-0.328,0.086
1899,4,-0.21,0.132,-0.294,0.085
1899,5,-0.205,0.142,-0.247,0.084
1899,6,-0.366,0.138,-0.235,0.085
1899,7,-0.271,0.161,-0.252,0.085
1899,8,-0.168,0.178,-0.212,0.086
1899,9,-0.117,0.146,-0.173,0.086
1899,10,-0.081,0.132,-0.166,0.086
1899,11,0.017,0.121,-0.155,0.086
1899,12,-0.272,0.129,-0.137,0.086
1900,1,-0.429,0.139,-0.129,0.086
1900,2,-0.003,0.136,-0.13,0.087
1900,3,0.027,0.127,-0.132,0.087
